modelo,fabricacao,quantidade
CLASSIC LS 1.0 FLEXPOWER,2011,1
F-4000 4X4 (DIESEL)(E5),2018,1
HILUX CD SRV 4X4 2.8 TDI DIESE,2019,6
Fit EX 1.5 Aut,2013,1
26-320 CONSTELLATION 6X2 2P (D,2023,1
STRADA WORKING HARD 1.4 FIRE F,2018,3
TERRITORY TITANIUM 1.5 GTDI EC,2020,1
CLIO HATCH EXPRESSION 1.0 16V,2014,3
HR-V EX 1.8 Flexone 16V 5p Aut.,2021,1
SIENA EX 1.0 FIRE,2007,1
TORO VOLCANO 1.3 T270 4X2 FLEX,2022,2
FM 13 480 6X4,2008,1
UNO WAY 1.0 EVO FIRE FLEX,2015,1
TORO FREEDOM ROAD 2.4 16V FLEX,2017,1
CARGO 2429 E 6X2 TB,2015,1
VOYAGE 1.0 8V 4P,2010,2
VOYAGE TRENDLINE 1.0 FLEX 8V,2014,1
15-180 E CONSTELLATION,2009,1
FLUENCE Sedan Dynamique 2.0 16V FLEX Aut.,2013,1
NOVO GOL 1.0 MI TOTAL FLEX,2012,3
FIORINO FLEX,2013,1
R-450 A 6X2 2P (DIESEL)(E5),2020,1
DOBLO CARGO 1.4 MPI FIRE FLEX,2014,1
HB20X EVOLUTION 1.6 FLEX 16V A,2020,1
mobile lite,2021,1
C4 LOUNGE ORIGINE 2.0 FLEX 4P,2016,1
FIESTA SE 1.6 16V FLEX,2016,2
S10 Pick-Up Luxe 2.2 EFI,1996,1
HILUX CHASSI D4-D 3.0 4X4 TB D,2014,1
R 440 A 6X4 HIGHLINE (E5),2014,1
11.180,2022,1
ARGO DRIVE S-DESIGN 1.3 8V FLE,2021,1
UNO VIVACE CELEB. 1.0 EVO FIRE,2010,1
C3 SONORA 1.6 FLEX,2011,1
STRADA FREEDOM 1.3 FLEX 8V  CS,2023,2
XTZ 250 LANDER 249cc,2019,1
CIVIC SEDAN LXL 1.8 FLEX 16V,2012,1
CG 160 Start,2022,1
SAVEIRO STARTLINE 1.6 T.FLEX 8,2014,1
FIORINO FURGAO EVO 1.4 FLEX 8V,2015,1
ONIX HATCH LT 1.0 12V FLEX 5P,2021,1
COMPASS LONGITUDE 2.0 4X2 FLEX,2018,1
GOL 1.0 FLEX 12V 5P,2020,3
FIESTA SEDAN 1.6 FLEX,2010,2
HR 2.5 TCI HD RD,2013,2
SIENA ELX 1.4 MPI FIRE FLEX,2008,3
FIESTA S 1.5 16V FLEX,2015,1
KA+ SEDAN 1.0 TICVT FLEX,2020,1
HILUX SW4 SRV D4-D 4X4 3.0 TDI,2009,1
AMAROK HIGHLINE CD D 2.0 16V T,2019,1
DELIVERY EXPRESS 2P (DIESEL)(E,2020,1
Meteor Fireball 350cc ABS,2022,1
Saveiro Startline 1.6 T.Flex 8V,2014,1
Vectra GLS,2002,1
S 10 PICK-UP LT 2.8 CD 4X4 TDI,2019,1
FOCUS FASTBACK TIT. 2.0 FLEX,2016,1
FH 12 380 4X2,2005,1
Fit EXL 1.5 Flex 16V 5p Aut,2015,2
Up! move 1.0 Total Flex 12V 5p,2014,1
23.250 E 6X2,2005,2
STRADA ENDURANCE 1.4 FLEX 8V C,2020,1
Clio RL Authent 1.0 16v 5p,2004,1
CLASSIC LS 1.0 FLEXPOWER,2013,1
ETIOS CROSS 1.5 FLEX 16V,2015,2
Toro Endurance 2.0 16V 4x4 Diesel Aut.,2021,1
GRAND SIENA ATTRACTIVE 1.4 EVO,2016,1
ETIOS XLS SD 1.5,2013,1
IDEA ATTRACTIVE 1.4 FIRE FLEX,2012,1
FIESTA 1.6 FLEX,2012,1
FH 13 460 6X2 (E5),2013,1
17-180 WORKER 2p (diesel),2008,1
TUCSON 2.0 16V FLEX,2014,1
VW/SAVEIRO CS RB MPI,2023,1
KA 1.0 SEL TICVT FLEX,2015,1
L200 Triton Sport GLS 2.4 CD Diesel Aut.,2020,1
YARIS XL LIVE 1.3 FLEX 16V 5P,2021,1
CG 150 TITAN-EX MIX,2010,1
